"RecordNumber","EventRecordId","TimeCreated","EventId","Level","Provider","Channel","ProcessId","ThreadId","Computer","ChunkNumber","UserId","MapDescription","UserName","RemoteHost","PayloadData1","PayloadData2","PayloadData3","PayloadData4","PayloadData5","PayloadData6","ExecutableInfo","HiddenRecord","SourceFile","Keywords","ExtraDataOffset","Payload"
"1","27489","2021-07-28 19:30:12.0987916","4672","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1564","ADDC01.testlab.local","0","","Administrative logon","TESTLAB\ADDC01$ (S-1-5-18)","","PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege","LogonId: 0x12DF1F","","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ADDC01$""},{""@Name"":""SubjectDomainName"",""#text"":""TESTLAB""},{""@Name"":""SubjectLogonId"",""#text"":""0x12DF1F""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege""}]}}"
"2","27490","2021-07-28 19:30:12.0989395","4624","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1564","ADDC01.testlab.local","0","","Successful logon","-\-"," (::1)","Target: TESTLAB.LOCAL\ADDC01$","LogonType 3","LogonId: 0x12DF1F","AuthenticationPackageName: Kerberos","LogonProcessName: Kerberos","","-","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB.LOCAL""},{""@Name"":""TargetLogonId"",""#text"":""0x12DF1F""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""04a8889f-a446-c084-eb0e-87279c4afdf3""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::1""},{""@Name"":""IpPort"",""#text"":""52084""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
"3","27491","2021-07-28 19:30:12.1004860","4634","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","876","ADDC01.testlab.local","0","","An account was logged off","","","Target: TESTLAB\ADDC01$","LogonType 3","LogonId: 0x12DF1F","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB""},{""@Name"":""TargetLogonId"",""#text"":""0x12DF1F""},{""@Name"":""LogonType"",""#text"":""3""}]}}"
"4","27492","2021-07-28 19:30:12.7060213","4634","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","876","ADDC01.testlab.local","0","","An account was logged off","","","Target: TESTLAB\ADDC01$","LogonType 3","LogonId: 0x12DC90","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB""},{""@Name"":""TargetLogonId"",""#text"":""0x12DC90""},{""@Name"":""LogonType"",""#text"":""3""}]}}"
"5","27493","2021-07-28 19:30:34.9011418","4769","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1564","ADDC01.testlab.local","0","","A Kerberos service ticket was requested","","::ffff:10.0.0.3:49790","Target: testlab.local\itu 1773!@testlab.local","ServiceName: ADDC01$","ServiceSid: S-1-5-21-2439045635-180506259-1748410918-1000","TicketEncryptionType: AES256-CTS-HMAC-SHA1-96","Status: KDC_ERR_NONE - No error - No errors were found.","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""itu 1773!@testlab.local""},{""@Name"":""TargetDomainName"",""#text"":""testlab.local""},{""@Name"":""ServiceName"",""#text"":""ADDC01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-2439045635-180506259-1748410918-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.0.0.3""},{""@Name"":""IpPort"",""#text"":""49790""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""82fa599d-edc5-0168-f801-55bbab9f859d""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
"6","27494","2021-07-28 19:30:34.9033794","4672","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","844","ADDC01.testlab.local","0","","Administrative logon","TESTLAB\itu 1773! (S-1-5-21-2439045635-180506259-1748410918-500)","","PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege","LogonId: 0x12F2D8","","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-2439045635-180506259-1748410918-500""},{""@Name"":""SubjectUserName"",""#text"":""itu 1773!""},{""@Name"":""SubjectDomainName"",""#text"":""TESTLAB""},{""@Name"":""SubjectLogonId"",""#text"":""0x12F2D8""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege""}]}}"
"7","27495","2021-07-28 19:30:34.9035712","4624","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","844","ADDC01.testlab.local","0","","Successful logon","-\-"," (10.0.0.3)","Target: testlab.local\itu 1773!","LogonType 3","LogonId: 0x12F2D8","AuthenticationPackageName: Kerberos","LogonProcessName: Kerberos","","-","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-2439045635-180506259-1748410918-500""},{""@Name"":""TargetUserName"",""#text"":""itu 1773!""},{""@Name"":""TargetDomainName"",""#text"":""testlab.local""},{""@Name"":""TargetLogonId"",""#text"":""0x12F2D8""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""4b1f2f36-37e4-cb09-7e44-8436189dc60e""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.0.0.3""},{""@Name"":""IpPort"",""#text"":""49789""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1840""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
"8","27496","2021-07-28 19:30:34.9192399","4672","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1564","ADDC01.testlab.local","0","","Administrative logon","TESTLAB\ADDC01$ (S-1-5-18)","","PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege","LogonId: 0x12F39D","","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ADDC01$""},{""@Name"":""SubjectDomainName"",""#text"":""TESTLAB""},{""@Name"":""SubjectLogonId"",""#text"":""0x12F39D""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege""}]}}"
"9","27497","2021-07-28 19:30:34.9193170","4624","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1564","ADDC01.testlab.local","0","","Successful logon","-\-"," (fe80::492:2bcc:f5ff:fffd)","Target: TESTLAB.LOCAL\ADDC01$","LogonType 3","LogonId: 0x12F39D","AuthenticationPackageName: Kerberos","LogonProcessName: Kerberos","","-","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB.LOCAL""},{""@Name"":""TargetLogonId"",""#text"":""0x12F39D""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""efb59bf9-c536-da8d-4e03-66ccd9a89b6a""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""fe80::492:2bcc:f5ff:fffd""},{""@Name"":""IpPort"",""#text"":""52086""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
"10","27498","2021-07-28 19:30:34.9206188","4634","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1796","ADDC01.testlab.local","0","","An account was logged off","","","Target: TESTLAB\ADDC01$","LogonType 3","LogonId: 0x12F39D","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB""},{""@Name"":""TargetLogonId"",""#text"":""0x12F39D""},{""@Name"":""LogonType"",""#text"":""3""}]}}"
"11","27499","2021-07-28 19:30:34.9220225","4672","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","2804","ADDC01.testlab.local","0","","Administrative logon","TESTLAB\ADDC01$ (S-1-5-18)","","PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege","LogonId: 0x12F3E7","","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ADDC01$""},{""@Name"":""SubjectDomainName"",""#text"":""TESTLAB""},{""@Name"":""SubjectLogonId"",""#text"":""0x12F3E7""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege""}]}}"
"12","27500","2021-07-28 19:30:34.9221002","4624","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","2804","ADDC01.testlab.local","0","","Successful logon","-\-"," (fe80::492:2bcc:f5ff:fffd)","Target: TESTLAB.LOCAL\ADDC01$","LogonType 3","LogonId: 0x12F3E7","AuthenticationPackageName: Kerberos","LogonProcessName: Kerberos","","-","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB.LOCAL""},{""@Name"":""TargetLogonId"",""#text"":""0x12F3E7""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""efb59bf9-c536-da8d-4e03-66ccd9a89b6a""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""fe80::492:2bcc:f5ff:fffd""},{""@Name"":""IpPort"",""#text"":""52087""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
"13","27501","2021-07-28 19:30:34.9248437","4634","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","844","ADDC01.testlab.local","0","","An account was logged off","","","Target: TESTLAB\ADDC01$","LogonType 3","LogonId: 0x12F3E7","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB""},{""@Name"":""TargetLogonId"",""#text"":""0x12F3E7""},{""@Name"":""LogonType"",""#text"":""3""}]}}"
"14","27502","2021-07-28 19:31:12.1166663","4672","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","2804","ADDC01.testlab.local","0","","Administrative logon","TESTLAB\ADDC01$ (S-1-5-18)","","PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege","LogonId: 0x12FEC1","","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ADDC01$""},{""@Name"":""SubjectDomainName"",""#text"":""TESTLAB""},{""@Name"":""SubjectLogonId"",""#text"":""0x12FEC1""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege""}]}}"
"15","27503","2021-07-28 19:31:12.1167517","4624","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","2804","ADDC01.testlab.local","0","","Successful logon","-\-"," (::1)","Target: TESTLAB.LOCAL\ADDC01$","LogonType 3","LogonId: 0x12FEC1","AuthenticationPackageName: Kerberos","LogonProcessName: Kerberos","","-","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB.LOCAL""},{""@Name"":""TargetLogonId"",""#text"":""0x12FEC1""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""04a8889f-a446-c084-eb0e-87279c4afdf3""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::1""},{""@Name"":""IpPort"",""#text"":""52088""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
"16","27504","2021-07-28 19:31:12.1176062","4634","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1796","ADDC01.testlab.local","0","","An account was logged off","","","Target: TESTLAB\ADDC01$","LogonType 3","LogonId: 0x12FEC1","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB""},{""@Name"":""TargetLogonId"",""#text"":""0x12FEC1""},{""@Name"":""LogonType"",""#text"":""3""}]}}"
"17","27505","2021-07-28 19:32:12.1323297","4672","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1564","ADDC01.testlab.local","0","","Administrative logon","TESTLAB\ADDC01$ (S-1-5-18)","","PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege","LogonId: 0x130274","","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ADDC01$""},{""@Name"":""SubjectDomainName"",""#text"":""TESTLAB""},{""@Name"":""SubjectLogonId"",""#text"":""0x130274""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege""}]}}"
"18","27506","2021-07-28 19:32:12.1324208","4624","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","1564","ADDC01.testlab.local","0","","Successful logon","-\-"," (::1)","Target: TESTLAB.LOCAL\ADDC01$","LogonType 3","LogonId: 0x130274","AuthenticationPackageName: Kerberos","LogonProcessName: Kerberos","","-","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB.LOCAL""},{""@Name"":""TargetLogonId"",""#text"":""0x130274""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""04a8889f-a446-c084-eb0e-87279c4afdf3""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::1""},{""@Name"":""IpPort"",""#text"":""52089""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
"19","27507","2021-07-28 19:32:12.1333579","4634","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","844","ADDC01.testlab.local","0","","An account was logged off","","","Target: TESTLAB\ADDC01$","LogonType 3","LogonId: 0x130274","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""TargetUserSid"",""#text"":""S-1-5-18""},{""@Name"":""TargetUserName"",""#text"":""ADDC01$""},{""@Name"":""TargetDomainName"",""#text"":""TESTLAB""},{""@Name"":""TargetLogonId"",""#text"":""0x130274""},{""@Name"":""LogonType"",""#text"":""3""}]}}"
"20","27508","2021-07-28 19:33:12.1426238","4672","LogAlways","Microsoft-Windows-Security-Auditing","Security","680","2804","ADDC01.testlab.local","0","","Administrative logon","TESTLAB\ADDC01$ (S-1-5-18)","","PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege","LogonId: 0x131830","","","","","","False","C:\Users\IR\Downloads\golden.evtx","Audit success","0","{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ADDC01$""},{""@Name"":""SubjectDomainName"",""#text"":""TESTLAB""},{""@Name"":""SubjectLogonId"",""#text"":""0x131830""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege, SeDelegateSessionUserImpersonatePrivilege, SeEnableDelegationPrivilege""}]}}"
